date,scope,symbol,locate,messages,duplicate_check_applied,duplicates_adjacent,duplicates_within_bucket,timestamp_reversals,max_reversal_ns,identical_timestamp_messages,messages_late_after_decision,exact_duplicates_within_bucket_full_tape,tuple_key_repeats_adjacent,receive_clock_present,sequence_number_present,channel_field_present
2019-07-30,DEV_SCOPE,ZM,8822,72700,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,4848,0,,,false,false,false
2019-07-30,DEV_SCOPE,INCY,4144,94089,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,2258,0,,,false,false,false
2019-07-30,DEV_SCOPE,MXIM,5371,156168,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,3111,0,,,false,false,false
2019-07-30,DEV_SCOPE,CTAS,1774,76236,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,1095,0,,,false,false,false
2019-07-30,DEV_SCOPE,CERN,1327,145398,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,3073,0,,,false,false,false
2019-07-30,DEV_SCOPE,WBA,8470,278408,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,6297,0,,,false,false,false
2019-07-30,DEV_SCOPE,TXRH,7992,110888,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,2806,0,,,false,false,false
2019-07-30,DEV_SCOPE,VRSK,8393,50473,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,1268,0,,,false,false,false
2019-07-30,DEV_SCOPE,OSTK,5913,130723,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,3041,0,,,false,false,false
2019-07-30,DEV_SCOPE,LGND,4777,61177,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,1867,0,,,false,false,false
2019-07-30,DEV_SCOPE,LYFT,4931,85601,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,6362,0,,,false,false,false
2019-07-30,DEV_SCOPE,TROW,7895,134948,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,1697,0,,,false,false,false
2019-07-30,DEV_SCOPE,AABA,4,249230,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,2271,0,,,false,false,false
2019-07-30,DEV_SCOPE,ABMD,33,60934,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,1608,0,,,false,false,false
2019-07-30,DEV_SCOPE,SWKS,7557,139715,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,3680,0,,,false,false,false
2019-07-30,DEV_SCOPE,BLUE,936,56200,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,1701,0,,,false,false,false
2019-07-30,DEV_SCOPE,SNPS,7289,139387,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,1885,0,,,false,false,false
2019-07-30,DEV_SCOPE,OLED,5828,57923,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,1646,0,,,false,false,false
2019-07-30,DEV_SCOPE,ROST,6789,207514,WITHIN_100MS_BUCKET_EXACT_PAYLOAD,NOT_PER_SYMBOL,0,0,0,1834,0,,,false,false,false
2019-07-30,FULL_TAPE,ALL,,282229684,EXACT_PAYLOAD_BOTH_ADJACENT_AND_WITHIN_100MS_BUCKET,0,0,0,0,3858123,0,0,748799,false,false,false
